"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
327,"True.Tox",0.05,0.15,0.25,0.35,0.4
327,"True.Eff",0.35,0.35,0.36,0.37,0.37
327,"True.Utility",0.32,0.25,0.19,0.14,0.1
334,"True.Tox",0.01,0.03,0.06,0.1,0.25
334,"True.Eff",0.05,0.1,0.15,0.35,0.36
334,"True.Utility",0.04,0.08,0.11,0.28,0.19
273,"True.Tox",0.02,0.06,0.1,0.25,0.35
273,"True.Eff",0.05,0.1,0.35,0.36,0.37
273,"True.Utility",0.04,0.06,0.28,0.19,0.14
354,"True.Tox",0.01,0.03,0.06,0.1,0.25
354,"True.Eff",0.05,0.1,0.15,0.35,0.36
354,"True.Utility",0.04,0.08,0.11,0.28,0.19
288,"True.Tox",0.08,0.12,0.18,0.25,0.35
288,"True.Eff",0.38,0.38,0.39,0.4,0.4
288,"True.Utility",0.33,0.3,0.27,0.23,0.17
324,"True.Tox",0.01,0.03,0.06,0.1,0.25
324,"True.Eff",0.05,0.1,0.15,0.35,0.36
324,"True.Utility",0.04,0.08,0.11,0.28,0.19
283,"True.Tox",0.02,0.06,0.1,0.25,0.35
283,"True.Eff",0.05,0.1,0.35,0.36,0.37
283,"True.Utility",0.04,0.06,0.28,0.19,0.14
318,"True.Tox",0.08,0.12,0.18,0.25,0.35
318,"True.Eff",0.38,0.38,0.39,0.4,0.4
318,"True.Utility",0.33,0.3,0.27,0.23,0.17
348,"True.Tox",0.08,0.12,0.18,0.25,0.35
348,"True.Eff",0.38,0.38,0.39,0.4,0.4
348,"True.Utility",0.33,0.3,0.27,0.23,0.17
279,"True.Tox",0.02,0.06,0.18,0.25,0.35
279,"True.Eff",0.15,0.35,0.36,0.37,0.37
279,"True.Utility",0.14,0.31,0.24,0.2,0.14
343,"True.Tox",0.02,0.06,0.1,0.25,0.35
343,"True.Eff",0.05,0.1,0.35,0.36,0.37
343,"True.Utility",0.04,0.06,0.28,0.19,0.14
289,"True.Tox",0.02,0.06,0.18,0.25,0.35
289,"True.Eff",0.15,0.35,0.36,0.37,0.37
289,"True.Utility",0.14,0.31,0.24,0.2,0.14
333,"True.Tox",0.02,0.06,0.1,0.25,0.35
333,"True.Eff",0.05,0.1,0.35,0.36,0.37
333,"True.Utility",0.04,0.06,0.28,0.19,0.14
353,"True.Tox",0.02,0.06,0.1,0.25,0.35
353,"True.Eff",0.05,0.1,0.35,0.36,0.37
353,"True.Utility",0.04,0.06,0.28,0.19,0.14
290,"True.Tox",0.05,0.08,0.15,0.18,0.25
290,"True.Eff",0.15,0.38,0.38,0.39,0.4
290,"True.Utility",0.12,0.33,0.28,0.27,0.23
323,"True.Tox",0.02,0.06,0.1,0.25,0.35
323,"True.Eff",0.05,0.1,0.35,0.36,0.37
323,"True.Utility",0.04,0.06,0.28,0.19,0.14
349,"True.Tox",0.02,0.06,0.18,0.25,0.35
349,"True.Eff",0.15,0.35,0.36,0.37,0.37
349,"True.Utility",0.14,0.31,0.24,0.2,0.14
320,"True.Tox",0.05,0.08,0.15,0.18,0.25
320,"True.Eff",0.15,0.38,0.38,0.39,0.4
320,"True.Utility",0.12,0.33,0.28,0.27,0.23
294,"True.Tox",0.01,0.03,0.06,0.1,0.25
294,"True.Eff",0.05,0.1,0.15,0.35,0.36
294,"True.Utility",0.04,0.08,0.11,0.28,0.19
293,"True.Tox",0.02,0.06,0.1,0.25,0.35
293,"True.Eff",0.05,0.1,0.35,0.36,0.37
293,"True.Utility",0.04,0.06,0.28,0.19,0.14
350,"True.Tox",0.05,0.08,0.15,0.18,0.25
350,"True.Eff",0.15,0.38,0.38,0.39,0.4
350,"True.Utility",0.12,0.33,0.28,0.27,0.23
319,"True.Tox",0.02,0.06,0.18,0.25,0.35
319,"True.Eff",0.15,0.35,0.36,0.37,0.37
319,"True.Utility",0.14,0.31,0.24,0.2,0.14
303,"True.Tox",0.02,0.06,0.1,0.25,0.35
303,"True.Eff",0.05,0.1,0.35,0.36,0.37
303,"True.Utility",0.04,0.06,0.28,0.19,0.14
280,"True.Tox",0.05,0.08,0.15,0.18,0.25
280,"True.Eff",0.15,0.38,0.38,0.39,0.4
280,"True.Utility",0.12,0.33,0.28,0.27,0.23
309,"True.Tox",0.02,0.06,0.18,0.25,0.35
309,"True.Eff",0.15,0.35,0.36,0.37,0.37
309,"True.Utility",0.14,0.31,0.24,0.2,0.14
328,"True.Tox",0.08,0.12,0.18,0.25,0.35
328,"True.Eff",0.38,0.38,0.39,0.4,0.4
328,"True.Utility",0.33,0.3,0.27,0.23,0.17
338,"True.Tox",0.08,0.12,0.18,0.25,0.35
338,"True.Eff",0.38,0.38,0.39,0.4,0.4
338,"True.Utility",0.33,0.3,0.27,0.23,0.17
339,"True.Tox",0.02,0.06,0.18,0.25,0.35
339,"True.Eff",0.15,0.35,0.36,0.37,0.37
339,"True.Utility",0.14,0.31,0.24,0.2,0.14
329,"True.Tox",0.02,0.06,0.18,0.25,0.35
329,"True.Eff",0.15,0.35,0.36,0.37,0.37
329,"True.Utility",0.14,0.31,0.24,0.2,0.14
298,"True.Tox",0.08,0.12,0.18,0.25,0.35
298,"True.Eff",0.38,0.38,0.39,0.4,0.4
298,"True.Utility",0.33,0.3,0.27,0.23,0.17
358,"True.Tox",0.08,0.12,0.18,0.25,0.35
358,"True.Eff",0.38,0.38,0.39,0.4,0.4
358,"True.Utility",0.33,0.3,0.27,0.23,0.17
308,"True.Tox",0.08,0.12,0.18,0.25,0.35
308,"True.Eff",0.38,0.38,0.39,0.4,0.4
308,"True.Utility",0.33,0.3,0.27,0.23,0.17
299,"True.Tox",0.02,0.06,0.18,0.25,0.35
299,"True.Eff",0.15,0.35,0.36,0.37,0.37
299,"True.Utility",0.14,0.31,0.24,0.2,0.14
278,"True.Tox",0.08,0.12,0.18,0.25,0.35
278,"True.Eff",0.38,0.38,0.39,0.4,0.4
278,"True.Utility",0.33,0.3,0.27,0.23,0.17
359,"True.Tox",0.02,0.06,0.18,0.25,0.35
359,"True.Eff",0.15,0.35,0.36,0.37,0.37
359,"True.Utility",0.14,0.31,0.24,0.2,0.14
360,"True.Tox",0.05,0.08,0.15,0.18,0.25
360,"True.Eff",0.15,0.38,0.38,0.39,0.4
360,"True.Utility",0.12,0.33,0.28,0.27,0.23
310,"True.Tox",0.05,0.08,0.15,0.18,0.25
310,"True.Eff",0.15,0.38,0.38,0.39,0.4
310,"True.Utility",0.12,0.33,0.28,0.27,0.23
330,"True.Tox",0.05,0.08,0.15,0.18,0.25
330,"True.Eff",0.15,0.38,0.38,0.39,0.4
330,"True.Utility",0.12,0.33,0.28,0.27,0.23
340,"True.Tox",0.05,0.08,0.15,0.18,0.25
340,"True.Eff",0.15,0.38,0.38,0.39,0.4
340,"True.Utility",0.12,0.33,0.28,0.27,0.23
300,"True.Tox",0.05,0.08,0.15,0.18,0.25
300,"True.Eff",0.15,0.38,0.38,0.39,0.4
300,"True.Utility",0.12,0.33,0.28,0.27,0.23
